tmdb_id,genre_ids
238,"18,80"
278,"18,80"
240,"18,80"
424,"18,36,10752"
19404,"35,18,10749"
389,18
129,"16,10751,14"
496243,"35,53,18"
155,"18,28,80,53"
497,"14,18,80"
372058,"10749,16,18"
680,"53,80"
122,"12,14,28"
13,"35,18,10749"
429,37
769,"18,80"
12477,"16,18,10752"
637,"35,18"
346,"28,18"
11216,"18,10749"
550,18
696374,"10749,18"
667257,"10751,18"
539,"27,18,53"
568332,10402
598,"18,80"
311,"18,80"
157336,"12,18,878"
510,18
724089,"10749,18"
620249,"16,14,28"
372754,"10749,16"
761053,"10749,18"
324857,"28,12,16,878"
40096,"35,18,14"
120,"12,14,28"
4935,"14,16,12"
569094,"16,28,12,878"
14537,"28,18,36"
255709,18
378064,"16,18"
1891,"12,28,878"
121,"12,14,28"
244786,"18,10402"
423,"18,10752"
995133,"16,10751,12,14"
807,"80,9648,53"
27205,"28,878,12"
820067,"16,35,10749"
567,"53,9648"
92321,"10749,16,14"
73,18
274,"80,18,53"
128,"12,14,16"
18491,"16,878,28,18"
914,"35,10752"
3782,18
599,18
652837,"16,18,10749"
1026227,"35,18"
644479,"18,35"
533514,"16,14,10749,18"
12493,"80,18,9648,53"
105,"12,35,878"
101,"80,18,28"
207,18
29259,"18,53,80"
901,"35,10749,18"
3082,"35,18"
10494,"16,53"
283566,"16,28,878,18"
25237,"18,10752"
335,"18,37"
447362,"18,10749"
28,"18,10752"
527641,"10749,18"
77338,"18,35"
975,"18,10752"
632632,"16,18,10402,10749"
637920,18
16672,"18,53"
630566,"10402,18,10749"
670,"18,53,9648,28"
42269,"18,35"
10376,"18,10402"
1585,"18,10751,14"
315162,"12,14,16,35,10751,28"
299534,"12,878,28"
20334,"35,18,10749"
635302,"28,16,12,14,53"
618344,"16,28,878"
8587,"10751,16,18"
299536,"12,28,878"
508965,"16,10751,12,35,14"
504253,"16,18,10749"
361743,"28,18"
265177,18
572154,"16,35,10749,18,14"
490132,"18,36"
290098,"53,18,10749"
568300,10402
851644,"10749,18"
110420,"16,10751,18,14,12"
441130,"16,10751,12,14"
24188,"18,35"
626332,"35,18"
476292,"12,16,18,10751,14,10749"
537061,"10770,16,878,28,12,35,18,14,10402"
37257,"18,9648,80"
797,18
694,"27,53"
354912,"10751,16,14,10402,35,12"
284,"35,18,10749"
556574,"36,18"
16869,"18,53,10752"
185,"878,80"
857,"18,36,10752"
98,"28,18,12"
5156,18
603,"28,878"
522924,"18,10749"
1124,"18,9648,878"
11,"12,28,878"
810693,"16,28,14"
50014,18
610892,"18,14,16"
11324,"18,53,9648"
26451,"18,53"
654299,"35,18,10402"
490,"14,18"
575813,18
324786,"18,36,10752"
10098,"35,18"
629,"18,80,53"
133919,"18,10749"
77,"9648,53"
791373,"28,12,14"
18148,18
592350,"16,28,14,12"
313106,"878,12"
517814,18
68718,"18,37"
426,"9648,10749,53"
1398,"878,18"
606856,"12,10751"
111,"28,80,18"
289,"18,10749"
1422,"18,53,80"
555604,"16,14,18,10751"
475557,"80,53,18"
872,"35,10749"
620683,35
422,18
531428,"18,10749"
398818,"10749,18"
399106,"10751,16"
458220,18
92060,"27,10402"
81481,18
518068,"28,12,18,14,53,9648"
103,"80,18"
55823,"18,35,10752"
470044,"80,18"
348,"27,878"
20914,35
406997,"18,10751"
489,18
19,"18,878"
762975,"10749,18"
600354,18
20532,18
755812,"16,10770,14,28"
508442,"16,10751,35,14,18"
666,18
600,"18,10752"
37165,"35,18"
872585,"18,36"
664767,"16,28,14"
439,"35,18"
532067,"16,12,35,14"
500,"80,53"
935,"35,10752"
614,18
20941,"18,10752"
100,"35,80"
411088,"18,9648,53"
705,18
2457,"18,10749"
1000492,18
548,"80,18,9648"
996,"80,53"
640344,"10751,14"
823754,"35,18"
11878,"18,53"
38288,35
9702,"80,28,18,53"
239,"35,10749,80"
397567,"28,12,18,14,53,9648"
149871,"16,18,14"
103663,18
24382,"35,80"
280,"28,53,878"
472454,"18,10752,36"
12445,"14,12"
930094,"35,10749"
38,"878,18,10749"
550776,"18,10770"
46738,"18,10752,9648"
843,"18,10749"
146233,"18,53,80"
655,18
832,"18,53,80"
678512,"28,18"
663558,"16,28,14"
4348,"18,10749"
992,"28,35,9648"
406,18
7345,18
334543,18
3780,18
359940,"80,18"
10681,"16,10751,878"
